neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,orbiting_body,relative_velocity,miss_distance,is_hazardous
2424482,424482 (2008 DG5),19.68,0.308003021,0.688715693,Earth,14861.14309,39926366.23,TRUE
2433939,433939 (1995 DW1),21.17,0.155079709,0.346768771,Earth,48553.24536,44688871.27,FALSE
3761394,(2016 UA6),25.8,0.018388867,0.041118757,Earth,24847.48051,13593234.3,FALSE
54049835,(2020 OV5),20.23,0.239086457,0.534613571,Earth,51617.25049,33257253.66,FALSE
3388354,(2007 TD66),21.89,0.11131533,0.248908644,Earth,37317.60555,40793405.21,FALSE
3602933,(2012 HD20),22.2,0.096506147,0.215794305,Earth,71713.72967,65155155.91,FALSE
3767319,(2017 BP91),23.3,0.058150704,0.130028927,Earth,17085.45142,57636413.81,FALSE
3792422,(2017 XK61),18.4,0.555334912,1.241766613,Earth,59872.34503,20351810.57,FALSE
3825432,(2018 ME5),22.95,0.06832112,0.152770668,Earth,23399.00056,19878694.58,FALSE
3835962,(2018 VB1),23.7,0.048367649,0.108153351,Earth,53565.78507,24110759.27,FALSE
54054747,(2020 TF),21.69,0.122054832,0.272922901,Earth,77226.89496,51080761.12,TRUE
2606438,606438 (2017 XK61),18.14,0.6259721,1.399716167,Earth,59874.63325,20353853.59,FALSE
54319144,(2022 UV5),25.67,0.019523379,0.043655602,Earth,19286.29047,16522298.63,FALSE
54321460,(2022 UA14),28.34,0.005708933,0.012765563,Earth,36369.77263,7180644.039,FALSE
54445000,(2024 KA1),25.34,0.022727673,0.050820622,Earth,38868.28605,15166585.87,FALSE
3428255,(2008 SD85),23.09,0.064055286,0.143231975,Earth,47798.9659,46559553.37,FALSE
3546741,(2010 SJ),23.8,0.046190746,0.103285648,Earth,53389.35525,51450249.64,FALSE
3639467,(2013 LC1),23.9,0.04411182,0.098637028,Earth,25157.57432,17586902.17,FALSE
3766091,(2016 YN1),23.6,0.050647146,0.113250461,Earth,26522.762,60529020.21,FALSE
3769816,(2017 DW34),23.21,0.060611492,0.135531417,Earth,60956.34761,29816915.38,FALSE
3789676,(2017 WA15),18.85,0.451393163,1.009345797,Earth,99851.1685,54144026.58,FALSE
54143423,(2021 JF1),22.27,0.093444765,0.208948847,Earth,50866.16461,70774742.39,FALSE
54185582,(2021 PS16),23.12,0.063176415,0.141266758,Earth,18717.78133,14781327.51,FALSE
54279840,(2022 KO),24.89,0.027961147,0.062523025,Earth,37532.54452,42243627.29,FALSE
54381341,(2023 RA4),24.68,0.030800302,0.068871569,Earth,43155.75033,48689798.86,FALSE
3333737,(2006 KK21),20.56,0.2053785,0.459240286,Earth,81325.04166,44571507.81,TRUE
3756108,(2016 OX),23.7,0.048367649,0.108153351,Earth,53221.20678,43760481.92,FALSE
3838844,(2019 DW),27,0.010581689,0.023661375,Earth,28576.00753,35804317.62,FALSE
54302657,(2022 RX3),17.7,0.766575574,1.714115092,Earth,143841.078,5730452.505,TRUE
54306601,(2022 SB6),22.66,0.078082728,0.174598287,Earth,51310.60231,11349142.48,FALSE
